Year of arrival at port of disembarkation,Voyage ID,Vessel name,Voyage itinerary imputed port where began (ptdepimp) place,Voyage itinerary imputed principal place of slave purchase (mjbyptimp) ,Voyage itinerary imputed principal port of slave disembarkation (mjslptimp) place,VOYAGEID2,Captives arrived at 1st port,Captain's name
1634,29634,Santiago,Lisbon,Luanda,Cartagena,,139,"Lobo, Hector"
1634,29635,S Jorge,,"West Central Africa and St. Helena, port unspecified",Cartagena,,147,"Perez, Martin"
1634,29636,Tres Marias,,"West Central Africa and St. Helena, port unspecified",Cartagena,,101,"Saraiva, Juan de"
1634,29637,NS del Rosario,Seville,"Senegambia and offshore Atlantic, port unspecified",Cartagena,,160,"Galate de Fuentes, Juan de<br/> Silva, Baltasar de"
1633,29638,NS de la Concepcion,Lisbon,"West Central Africa and St. Helena, port unspecified",Cartagena,,90,"Vega Maçagan, Diego de"
1635,29639,NS del Rosario,Lisbon,"West Central Africa and St. Helena, port unspecified",Cartagena,,111,"Suarez, Miguel"
1635,29640,S Vicente,,Portuguese Guinea,Cartagena,,150,"Dias Capote, Juan"
1635,29641,NS de Pena de Francia,Lisbon,"West Central Africa and St. Helena, port unspecified",Cartagena,,118,"Moreno, Fernando"
1575,29646,S Antônio,Seville,São Tomé,"Hispaniola, unspecified",,243,"San Juan de la Jabetria<br/> Rebolo, Francisco"
1549,29647,Santa Maria de Guia,Seville,Cape Verde Islands,Nombre de Dios,,,"Martin, Manuel"
1626,29648,Benditas Animas Purgatorio y SFrancisco,San Lucar,Luanda,"Puerto Rico, port unspecified",,63,"Guilarte, Diego"
1620,29649,NS de la Candelaria y S Buena Ventura,Cadiz,,,,,"Abreu, Francisco de"
1616,29651,S Juan Bautista,San Lucar,,,,,"Méndez, Manoel"
1632,29652,S Bartolomé y NS de la Encarnacion,Seville,Luanda,"New Spain, port unspecified",,,"Treviño, Francisco"
1632,29653,NS del Carmen,Seville,Luanda,"New Spain, port unspecified",,,"Pestana, Diego"
1632,29654,Angel Micael,Seville,"Africa, port unspecified",Buenos Aires,,,"Rodriguez Carnero, Francisco"
1632,29656,Santíssima Trinidad,Seville,Luanda,Buenos Aires,,,"Alo Senoba, Nicola"
1633,29657,Buen Sucesso,Lisbon,Luanda,"New Spain, port unspecified",,,"Rodrigues, Fernam"
1633,29659,NS de los Remédios,Lisbon,"Africa, port unspecified",,,,"Jorge, Luis"
1633,29660,NS de la Natividad,Seville,Cape Verde Islands,"Spanish Americas, port unspecified",,,"Mendoza, Felipe"
1634,29661,NS de los Remédios (a) NS del Rosario,Lisbon,Luanda,Cartagena,,247,"Taveyra, Filipe<br/> Prieto, Francisco Rodriguez"
1633,29662,NS de los Remédios,Lisbon,"Senegambia and offshore Atlantic, port unspecified","Spanish Americas, port unspecified",,,"Cordero, Diego"
1635,29663,Sta Ana,Lisbon,"West Central Africa and St. Helena, port unspecified","New Spain, port unspecified",,,"Mendez, Manuel"
1635,29666,NS del Rosario y Sn Antonio,Lisbon,"West Central Africa and St. Helena, port unspecified","New Spain, port unspecified",,,"Morera, Simon"
1635,29667,S Antônio,Lisbon,Luanda,"New Spain, port unspecified",,,"Teles, Gaspar"
1635,29668,S Miguel,Lisbon,"West Central Africa and St. Helena, port unspecified","New Spain, port unspecified",,,"Martinez, Manuel"
1635,29670,NS de Nazaré,Lisbon,"West Central Africa and St. Helena, port unspecified","New Spain, port unspecified",,,"Botello, Gaspar"
1634,29671,NS del Rosario,Lisbon,Luanda,"New Spain, port unspecified",,,"Alvarez, Tomé"
1634,29672,Cierbo Negro,Seville,"Africa, port unspecified",Buenos Aires,,,"Soberanis, Juan Bautista"
1634,29673,NS de la Piedad,Lisbon,Luanda,"New Spain, port unspecified",,,"Vaz de Azevedo, Antònio"
1634,29674,S Francisco y La Limpia Concepcion,Lisbon,Luanda,"New Spain, port unspecified",,,"Ramos, Matias"
1637,29675,Madre de Dios,Lisbon,"West Central Africa and St. Helena, port unspecified","Cuba, south coast",,,"Carvallo, Simón"
1634,29676,NS de la Piedad,Lisbon,Luanda,"New Spain, port unspecified",,,"Suárez, Pedro"
1635,29678,S Miguel,Seville,"Africa, port unspecified",,,,"Ayala, Diogo de"
1635,29679,NS de Nazaré,Lisbon,Luanda,"New Spain, port unspecified",,,"Duarte Ferreira, Afonso"
1635,29681,NS de Nazaré,Lisbon,"West Central Africa and St. Helena, port unspecified","New Spain, port unspecified",,,"Teixera, Gaspar"
1635,29682,S Antônio,Lisbon,Luanda,"New Spain, port unspecified",,,"Ferrera, Afonso"
1635,29683,León Negro,San Lucar,Cacheu,"New Spain, port unspecified",,,"Rodriguez Madera, Juan"
1637,29684,NS del Rosario,Lisbon,Luanda,La Guaira,,,"Rodríguez, Benito"
1635,29685,NS de Nazaré,Lisbon,"West Central Africa and St. Helena, port unspecified","New Spain, port unspecified",,,"Mendez, Francisco"
1635,29686,NS de las Nieves,Seville,"West Central Africa and St. Helena, port unspecified","New Spain, port unspecified",,,"Fernandez Noguera, Juan"
1635,29687,NS del Rosario y S Antonio,Lisbon,"West Central Africa and St. Helena, port unspecified","New Spain, port unspecified",,,"Perera, Tomé"
1636,29689,S Antônio,Lisbon,"West Central Africa and St. Helena, port unspecified","New Spain, port unspecified",,,"Gomez, Pedro"
1636,29690,S Juan Bautista,Lisbon,"West Central Africa and St. Helena, port unspecified","New Spain, port unspecified",,,"Fernandez, Domingo"
1636,29691,NS del Rosario,Lisbon,"West Central Africa and St. Helena, port unspecified","New Spain, port unspecified",,,"Gonzalez, Pedro"
1636,29692,S Antônio,Lisbon,"West Central Africa and St. Helena, port unspecified","New Spain, port unspecified",,,"Gonzalez, Roque"
1639,29694,S Antônio,Lisbon,"Africa, port unspecified","Trujillo, Honduras",,,"Ferreira, Roque"
1636,29695,S Francisco y S Antonio,Lisbon,"West Central Africa and St. Helena, port unspecified","New Spain, port unspecified",,,"Fernandez, Anrique"
1638,29696,NS del Buen Jesus y del Libramiento,Lisbon,Portuguese Guinea,La Guaira,,,"Texera, Manuel"
